State,HS,Bach
Alabama,82.1,21.9
Alaska,91,27.9
Arizona,85.6,25.9
Arkansas,82.9,19.5
California,80.7,30.1
Colorado,89.7,36.4
Connecticut,88.6,35.5
Delaware,87.7,27.8
District of Columbia,87.4,50.1
Florida,85.5,25.8
Georgia,84.3,27.3
Hawaii,89.9,29.5
Idaho,88.3,24.4
Illinois,86.9,30.8
Indiana,87,22.7
Iowa,90.6,24.9
Kansas,89.2,29.8
Kentucky,81.9,20.5
Louisiana,81.9,21.4
Maine,90.3,26.8
Maryland,88.1,36.1
Massachusetts,89.1,39
Michigan,88.7,25.2
Minnesota,91.8,31.8
Mississippi,81,19.5
Missouri,86.9,25.6
Montana,91.7,28.8
Nebraska,90.4,28.6
Nevada,84.7,21.7
New Hampshire,91.5,32.8
New Jersey,88,35.4
New Mexico,83.3,25
New York,84.9,32.5
North Carolina,84.7,26.5
North Dakota,90.3,27.6
Ohio,88.1,24.6
Oklahoma,86.2,22.9
Oregon,88.8,28.8
Pennsylvania,88.4,27.1
Rhode Island,83.5,30.2
South Carolina,84.1,24.5
South Dakota,89.6,26.3
Tennessee,83.6,23.1
Texas,80.7,25.9
Utah,90.6,29.3
Vermont,91,33.6
Virginia,86.5,34.2
Washington,89.8,31.1
West Virginia,83.2,17.5
Wisconsin,90.1,26.3
Wyoming,92.3,24.1